track_name,track_id,track_duration,track_popularity,track_url,track_uri,track_danceability,track_energy,track_key,track_loudness,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,track_tempo,track_time_signature
COMO UN BEBÉ,7knLcYCOSaURD0d7HUULFM,218.826,71,https://open.spotify.com/track/7knLcYCOSaURD0d7HUULFM,spotify:track:7knLcYCOSaURD0d7HUULFM,0.807,0.825,6,-5.753,0.0949,0.0732,4.79e-06,0.138,0.816,103.053,4
NI BIEN NI MAL,278kSqsZIiYp8p3QjYAqa8,236.215,71,https://open.spotify.com/track/278kSqsZIiYp8p3QjYAqa8,spotify:track:278kSqsZIiYp8p3QjYAqa8,0.449,0.826,5,-8.33,0.0674,0.556,1.85e-05,0.273,0.337,128.028,4
200 Mph,5jGUJXnELDaDTgiRjD9lsg,170.509,67,https://open.spotify.com/track/5jGUJXnELDaDTgiRjD9lsg,spotify:track:5jGUJXnELDaDTgiRjD9lsg,0.5,0.85,8,-6.708,0.0665,0.0139,0.000384,0.0947,0.816,160.02,4
¿Quien Tu Eres?,6kN06eEOblRAuWI0xUUS91,159.228,62,https://open.spotify.com/track/6kN06eEOblRAuWI0xUUS91,spotify:track:6kN06eEOblRAuWI0xUUS91,0.58,0.727,2,-6.804,0.136,0.185,3.58e-06,0.125,0.325,137.048,4
Caro,6it15CsDlkqB7N4lF0C1qM,229.455,68,https://open.spotify.com/track/6it15CsDlkqB7N4lF0C1qM,spotify:track:6it15CsDlkqB7N4lF0C1qM,0.575,0.651,0,-7.739,0.299,0.627,0.000202,0.0961,0.248,160.007,4
Tenemos Que Hablar,5VQpJ2AY2iMzrRZKgcvNjh,224.512,63,https://open.spotify.com/track/5VQpJ2AY2iMzrRZKgcvNjh,spotify:track:5VQpJ2AY2iMzrRZKgcvNjh,0.512,0.855,11,-8.165,0.0534,0.146,0.000854,0.107,0.144,146.075,4
Otra Noche en Miami,4vCAzANUWDE24URV6wQ4ra,233.128,78,https://open.spotify.com/track/4vCAzANUWDE24URV6wQ4ra,spotify:track:4vCAzANUWDE24URV6wQ4ra,0.646,0.514,1,-8.833,0.275,0.197,2.3e-05,0.0958,0.297,88.661,4
Ser Bichote,4UEuIEv9Wc3wtiWUplGJ7q,193.21,61,https://open.spotify.com/track/4UEuIEv9Wc3wtiWUplGJ7q,spotify:track:4UEuIEv9Wc3wtiWUplGJ7q,0.626,0.785,4,-8.03,0.0675,0.158,4.6e-06,0.181,0.183,154.946,4
Si Estuviésemos Juntos,35wvL50xvKpCHEJPxLOLPI,169.247,83,https://open.spotify.com/track/35wvL50xvKpCHEJPxLOLPI,spotify:track:35wvL50xvKpCHEJPxLOLPI,0.594,0.672,1,-6.813,0.0789,0.0626,5.14e-05,0.152,0.158,171.854,4
Solo de Mi,4uP3pUP18ennmz0tb3GphR,197.967,72,https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR,spotify:track:4uP3pUP18ennmz0tb3GphR,0.73,0.743,10,-4.314,0.125,0.287,8.1e-05,0.0778,0.15,179.972,4
Cuando Perriabas,5mj8WVFcKdGA8p9HWGTSLc,188.654,64,https://open.spotify.com/track/5mj8WVFcKdGA8p9HWGTSLc,spotify:track:5mj8WVFcKdGA8p9HWGTSLc,0.705,0.787,0,-7.582,0.0695,0.137,1.06e-06,0.108,0.499,81.998,4
La Romana,1khmgu0pveJbkbpbkyvcQv,300.579,75,https://open.spotify.com/track/1khmgu0pveJbkbpbkyvcQv,spotify:track:1khmgu0pveJbkbpbkyvcQv,0.725,0.655,0,-5.497,0.188,0.0327,0.00264,0.0611,0.326,125.8,4
Como Antes,69ZaPBHhRMRDjRpW1ivnOU,230.577,68,https://open.spotify.com/track/69ZaPBHhRMRDjRpW1ivnOU,spotify:track:69ZaPBHhRMRDjRpW1ivnOU,0.379,0.767,0,-10.348,0.0385,0.668,0.000145,0.217,0.252,103.956,4
RLNDT,6pZHZndlo57dPCYnvlYFOE,284.852,67,https://open.spotify.com/track/6pZHZndlo57dPCYnvlYFOE,spotify:track:6pZHZndlo57dPCYnvlYFOE,0.528,0.6,0,-6.554,0.0308,0.263,0.0,0.588,0.142,108.025,4
Estamos Bien,2OWVCFTolecLiGZPquvWvT,208.079,72,https://open.spotify.com/track/2OWVCFTolecLiGZPquvWvT,spotify:track:2OWVCFTolecLiGZPquvWvT,0.536,0.759,9,-6.663,0.173,0.821,4.57e-06,0.107,0.439,119.883,4
MIA,3gE4eQH3K83Sght0ZLvuBK,210.367,79,https://open.spotify.com/track/3gE4eQH3K83Sght0ZLvuBK,spotify:track:3gE4eQH3K83Sght0ZLvuBK,0.538,0.816,6,-6.354,0.0617,0.0142,0.000496,0.099,0.156,97.054,4
UN PREVIEW,63ui2w3QJBp8xx0c1MJB2Z,165.582,86,https://open.spotify.com/track/63ui2w3QJBp8xx0c1MJB2Z,spotify:track:63ui2w3QJBp8xx0c1MJB2Z,0.814,0.786,1,-3.318,0.0873,0.0383,3.67e-05,0.22,0.365,95.084,4
