track_name,track_id,track_duration,track_popularity,track_url,track_uri,track_danceability,track_energy,track_key,track_loudness,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,track_tempo,track_time_signature
Tattoo - Live,0eWyTF0fa8FTM0qG46GvPL,257.394,24,https://open.spotify.com/track/0eWyTF0fa8FTM0qG46GvPL,spotify:track:0eWyTF0fa8FTM0qG46GvPL,0.723,0.564,9,-3.385,0.39,0.302,0.0,0.0996,0.712,93.521,4
Una Noche - Live,7t2qoR2sIqQFrgD8TTPMeY,87.315,20,https://open.spotify.com/track/7t2qoR2sIqQFrgD8TTPMeY,spotify:track:7t2qoR2sIqQFrgD8TTPMeY,0.553,0.561,9,-2.645,0.027,0.564,0.0,0.256,0.6,92.996,4
Fantasías - Live,1xNRUpGFofZAQnf0OZIhzK,330.829,22,https://open.spotify.com/track/1xNRUpGFofZAQnf0OZIhzK,spotify:track:1xNRUpGFofZAQnf0OZIhzK,0.769,0.605,0,-3.534,0.153,0.37,0.0,0.291,0.453,93.944,4
Al Mismo Tiempo,7CF4dWivLZf3Hdg0FKL9Eb,250.838,66,https://open.spotify.com/track/7CF4dWivLZf3Hdg0FKL9Eb,spotify:track:7CF4dWivLZf3Hdg0FKL9Eb,0.492,0.786,9,-5.007,0.0374,0.8,0.0,0.106,0.203,132.914,4
Cubierto de Ti,0KLgnLFwESd9APhPRdfBnn,269.589,56,https://open.spotify.com/track/0KLgnLFwESd9APhPRdfBnn,spotify:track:0KLgnLFwESd9APhPRdfBnn,0.613,0.816,4,-3.943,0.0645,0.3,0.0,0.681,0.516,146.003,4
Espuma,5n8wJnaFaUtC2v3pe5XCzO,260.806,46,https://open.spotify.com/track/5n8wJnaFaUtC2v3pe5XCzO,spotify:track:5n8wJnaFaUtC2v3pe5XCzO,0.624,0.946,10,-6.852,0.0428,0.153,0.0,0.0978,0.575,123.974,4
Encima De Mi,0hAxyVU6Nro3equjEQdFq2,224.307,57,https://open.spotify.com/track/0hAxyVU6Nro3equjEQdFq2,spotify:track:0hAxyVU6Nro3equjEQdFq2,0.619,0.748,9,-5.235,0.0601,0.493,0.0,0.499,0.402,130.055,4
Na' de Ti,6I7kybtYA6uWdWPyiZgyhK,187.92,41,https://open.spotify.com/track/6I7kybtYA6uWdWPyiZgyhK,spotify:track:6I7kybtYA6uWdWPyiZgyhK,0.66,0.773,0,-6.476,0.165,0.0421,1.02e-05,0.0997,0.358,149.955,4
Cuento de Hadas,3SWyajFaNEhHO5Fd03d51T,229.411,44,https://open.spotify.com/track/3SWyajFaNEhHO5Fd03d51T,spotify:track:3SWyajFaNEhHO5Fd03d51T,0.643,0.667,5,-5.281,0.0847,0.125,0.0,0.478,0.232,84.909,4
Hasta Donde,1cdtc60IkgTugE6lSlHzTk,313.469,45,https://open.spotify.com/track/1cdtc60IkgTugE6lSlHzTk,spotify:track:1cdtc60IkgTugE6lSlHzTk,0.614,0.692,6,-8.056,0.0362,0.274,0.0,0.084,0.377,98.007,4
Hayami Hana,1G7dT2vBltjqflkUEHwRoX,327.0,71,https://open.spotify.com/track/1G7dT2vBltjqflkUEHwRoX,spotify:track:1G7dT2vBltjqflkUEHwRoX,0.418,0.655,1,-10.278,0.178,0.855,3.54e-05,0.13,0.452,79.876,4
BABY HELLO,2SOvWt6igzXViIjIiWNWEP,222.461,82,https://open.spotify.com/track/2SOvWt6igzXViIjIiWNWEP,spotify:track:2SOvWt6igzXViIjIiWNWEP,0.892,0.773,1,-3.732,0.0483,0.166,3.1e-06,0.429,0.842,130.007,4
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56",2NFadq6pUeiVEihLvUlOSr,191.254,80,https://open.spotify.com/track/2NFadq6pUeiVEihLvUlOSr,spotify:track:2NFadq6pUeiVEihLvUlOSr,0.646,0.784,11,-3.626,0.0491,0.0978,1.09e-06,0.255,0.592,127.942,4
BESO,609E1JCInJncactoMmkDon,194.543,87,https://open.spotify.com/track/609E1JCInJncactoMmkDon,spotify:track:609E1JCInJncactoMmkDon,0.644,0.768,5,-6.671,0.136,0.736,0.000837,0.173,0.53,95.05,4
VAMPIROS,3Eax1yebRxj6LSYpxE9Yd3,176.59,72,https://open.spotify.com/track/3Eax1yebRxj6LSYpxE9Yd3,spotify:track:3Eax1yebRxj6LSYpxE9Yd3,0.684,0.766,9,-4.281,0.0514,0.135,0.0199,0.0832,0.474,102.045,4
PROMESA,75rqqKvzJCGv2oq9C4yFDt,196.426,63,https://open.spotify.com/track/75rqqKvzJCGv2oq9C4yFDt,spotify:track:75rqqKvzJCGv2oq9C4yFDt,0.374,0.63,6,-9.007,0.227,0.861,7.54e-05,0.294,0.373,104.955,4
TAMO EN NOTA,2I0aHZjCXh6UjMHIOqugYF,180.06,68,https://open.spotify.com/track/2I0aHZjCXh6UjMHIOqugYF,spotify:track:2I0aHZjCXh6UjMHIOqugYF,0.81,0.667,1,-2.801,0.344,0.0922,0.0,0.131,0.829,121.373,4
PANTIES Y BRASIERES,0fADaWdT3obxk7zvHS18VY,197.383,69,https://open.spotify.com/track/0fADaWdT3obxk7zvHS18VY,spotify:track:0fADaWdT3obxk7zvHS18VY,0.888,0.758,1,-2.851,0.0706,0.34,0.00139,0.144,0.408,107.039,4
LEJOS DEL CIELO,39qtjJ454r2fgyXaenq8Wv,208.934,59,https://open.spotify.com/track/39qtjJ454r2fgyXaenq8Wv,spotify:track:39qtjJ454r2fgyXaenq8Wv,0.521,0.77,7,-6.982,0.195,0.372,3.91e-05,0.3,0.222,92.014,4
DIME QUIÉN????,2WtLhvwJX3czRVuFtUgZ6i,164.727,53,https://open.spotify.com/track/2WtLhvwJX3czRVuFtUgZ6i,spotify:track:2WtLhvwJX3czRVuFtUgZ6i,0.773,0.56,11,-3.14,0.134,0.0822,0.0,0.458,0.587,170.05,4
PUNTO 40,2TDyyEBasw10wu5Uh94bR1,190.654,71,https://open.spotify.com/track/2TDyyEBasw10wu5Uh94bR1,spotify:track:2TDyyEBasw10wu5Uh94bR1,0.826,0.873,0,-0.722,0.0876,0.00127,0.0361,0.311,0.201,106.972,4
LOKERA,79HZAZNnOE97rb2hnI0XQr,197.101,75,https://open.spotify.com/track/79HZAZNnOE97rb2hnI0XQr,spotify:track:79HZAZNnOE97rb2hnI0XQr,0.828,0.834,11,-2.657,0.0452,0.21,5.91e-06,0.103,0.58,102.019,4
Sci-Fi,5hF1rSgXQ4EPdWdYb8E6q0,198.54,59,https://open.spotify.com/track/5hF1rSgXQ4EPdWdYb8E6q0,spotify:track:5hF1rSgXQ4EPdWdYb8E6q0,0.915,0.66,1,-2.43,0.0678,0.221,0.0,0.388,0.377,100.015,4
Loco Por Perrearte - Remix,0vHfVsEe6Ps0d8cZ9PGzSw,199.148,66,https://open.spotify.com/track/0vHfVsEe6Ps0d8cZ9PGzSw,spotify:track:0vHfVsEe6Ps0d8cZ9PGzSw,0.673,0.848,11,-4.034,0.058,0.0147,0.00652,0.102,0.39,93.987,4
Te Felicito,2rurDawMfoKP4uHyb2kJBt,172.235,81,https://open.spotify.com/track/2rurDawMfoKP4uHyb2kJBt,spotify:track:2rurDawMfoKP4uHyb2kJBt,0.636,0.695,5,-4.654,0.317,0.234,0.0,0.081,0.575,174.14,4
