track_name,track_id,track_duration,track_popularity,track_url,track_uri,track_danceability,track_energy,track_key,track_loudness,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,track_tempo,track_time_signature
Bebesita,69XHHNUwwgm7I0dlfqaGJS,185.053,52,https://open.spotify.com/track/69XHHNUwwgm7I0dlfqaGJS,spotify:track:69XHHNUwwgm7I0dlfqaGJS,0.826,0.714,7,-3.897,0.0385,0.319,1.6e-05,0.216,0.742,91.997,4
Culpables,4RGKft6YTTWHjpQeRIInuS,228.96,66,https://open.spotify.com/track/4RGKft6YTTWHjpQeRIInuS,spotify:track:4RGKft6YTTWHjpQeRIInuS,0.812,0.728,8,-3.017,0.0833,0.287,2.9e-06,0.13,0.418,130.029,4
Mi Cama,3fFMAZtSAK5YQ3Zdl3EE4Q,149.106,61,https://open.spotify.com/track/3fFMAZtSAK5YQ3Zdl3EE4Q,spotify:track:3fFMAZtSAK5YQ3Zdl3EE4Q,0.812,0.832,9,-4.777,0.0885,0.216,6.77e-05,0.0978,0.658,163.076,4
La Ocasión Perfecta,0Y0QTT6W7zRVKv9hWdYkCg,222.693,48,https://open.spotify.com/track/0Y0QTT6W7zRVKv9hWdYkCg,spotify:track:0Y0QTT6W7zRVKv9hWdYkCg,0.621,0.876,1,-5.071,0.0564,0.0421,1.11e-06,0.0858,0.497,132.948,4
Créeme,4EKZsrsCKyqr64FBHLc0DU,214.293,71,https://open.spotify.com/track/4EKZsrsCKyqr64FBHLc0DU,spotify:track:4EKZsrsCKyqr64FBHLc0DU,0.874,0.715,6,-3.576,0.0548,0.126,0.000162,0.105,0.652,96.995,4
Go Karo,75myWkNUTahMKBbP6xCOlt,149.866,47,https://open.spotify.com/track/75myWkNUTahMKBbP6xCOlt,spotify:track:75myWkNUTahMKBbP6xCOlt,0.727,0.746,9,-3.342,0.0639,0.0465,1.02e-06,0.0793,0.826,93.037,4
Mi Cama - Remix,5yV2jwp1AZnulVkiWEorq7,197.053,52,https://open.spotify.com/track/5yV2jwp1AZnulVkiWEorq7,spotify:track:5yV2jwp1AZnulVkiWEorq7,0.78,0.817,9,-4.521,0.0765,0.299,0.0,0.0977,0.797,162.978,4
Yo Aprendí,0VU7mSqoaNxseitmR4chF5,185.906,46,https://open.spotify.com/track/0VU7mSqoaNxseitmR4chF5,spotify:track:0VU7mSqoaNxseitmR4chF5,0.75,0.703,6,-3.568,0.348,0.342,0.0,0.108,0.86,90.135,4
Ganas De Ti,6Kbl5FRBRRZhjbv5FoXe3w,167.56,46,https://open.spotify.com/track/6Kbl5FRBRRZhjbv5FoXe3w,spotify:track:6Kbl5FRBRRZhjbv5FoXe3w,0.666,0.831,3,-7.214,0.126,0.0364,3.32e-06,0.104,0.295,106.007,4
La Dama,78mpFgPXtqFccYQpSTNRX6,208.4,51,https://open.spotify.com/track/78mpFgPXtqFccYQpSTNRX6,spotify:track:78mpFgPXtqFccYQpSTNRX6,0.777,0.845,8,-5.854,0.188,0.121,0.000145,0.0921,0.732,100.01,4
