track_name,track_id,track_duration,track_popularity,track_url,track_uri,track_danceability,track_energy,track_key,track_loudness,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,track_tempo,track_time_signature
COMO CUANDO,3dtBWbot9d7XZYGHM5kl7V,161.613,49,https://open.spotify.com/track/3dtBWbot9d7XZYGHM5kl7V,spotify:track:3dtBWbot9d7XZYGHM5kl7V,0.625,0.701,9,-4.763,0.124,0.165,8.34e-05,0.0754,0.747,84.671,4
JORDAN IV,4hWHK5zIcv6yji8GsCSmAb,162.52,52,https://open.spotify.com/track/4hWHK5zIcv6yji8GsCSmAb,spotify:track:4hWHK5zIcv6yji8GsCSmAb,0.673,0.774,6,-5.255,0.283,0.0597,0.0,0.0942,0.219,166.015,4
FUMETEO,1OO9fI0XraqhRVZlMJEp6l,134.693,50,https://open.spotify.com/track/1OO9fI0XraqhRVZlMJEp6l,spotify:track:1OO9fI0XraqhRVZlMJEp6l,0.795,0.783,4,-4.432,0.0435,0.0675,0.0,0.104,0.635,93.982,4
PURRITO APA,1epyvAxnYmVKS0UVn9Wsln,151.4,51,https://open.spotify.com/track/1epyvAxnYmVKS0UVn9Wsln,spotify:track:1epyvAxnYmVKS0UVn9Wsln,0.662,0.626,6,-4.104,0.329,0.046,0.0,0.0942,0.632,110.611,5
XXXX,4sEbyXOOAjrPHkaK8O3y2G,117.906,48,https://open.spotify.com/track/4sEbyXOOAjrPHkaK8O3y2G,spotify:track:4sEbyXOOAjrPHkaK8O3y2G,0.737,0.727,1,-6.395,0.309,0.0317,0.0,0.107,0.148,81.933,4
FERXXO VI,1IFpEIKGWcHuWftxKWIIr6,102.4,49,https://open.spotify.com/track/1IFpEIKGWcHuWftxKWIIr6,spotify:track:1IFpEIKGWcHuWftxKWIIr6,0.278,0.341,2,-12.764,0.055,0.886,0.00109,0.0776,0.0797,147.602,4
HULU,17bTBbeFGkKUAisHzk6ngP,121.44,49,https://open.spotify.com/track/17bTBbeFGkKUAisHzk6ngP,spotify:track:17bTBbeFGkKUAisHzk6ngP,0.761,0.809,7,-3.978,0.254,0.0324,2.04e-05,0.0998,0.45,173.966,4
HECTOL,2KzW8jAkqgHtqdPSmoCSag,160.04,50,https://open.spotify.com/track/2KzW8jAkqgHtqdPSmoCSag,spotify:track:2KzW8jAkqgHtqdPSmoCSag,0.531,0.792,6,-5.955,0.28,0.296,9.69e-06,0.0999,0.746,90.023,4
EL PADRINO,31IhRKYBQw8qnWvzRXqnLB,168.986,51,https://open.spotify.com/track/31IhRKYBQw8qnWvzRXqnLB,spotify:track:31IhRKYBQw8qnWvzRXqnLB,0.623,0.622,5,-6.971,0.036,0.171,3.83e-05,0.105,0.56,175.891,4
TE MATA,1hPnBcozEKtGzriBxg60SP,113.12,52,https://open.spotify.com/track/1hPnBcozEKtGzriBxg60SP,spotify:track:1hPnBcozEKtGzriBxg60SP,0.531,0.581,9,-4.699,0.208,0.021,0.000195,0.137,0.866,170.001,4
